確定病名,發病年份,發病週別,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數,縣市別代碼,鄉鎮別代碼
025,2024,47,台南市,南區,M,0,70+,1,67000,67000330
025,2024,48,高雄市,燕巢區,M,0,70+,1,64000,64000210
025,2024,50,高雄市,鼓山區,M,0,65~69,1,64000,64000020
025,2024,51,高雄市,彌陀區,M,0,70+,1,64000,64000280
025,2024,52,高雄市,鼓山區,M,0,15~19,1,64000,64000020
025,2024,52,台南市,安平區,M,0,70+,1,67000,67000360
025,2025,1,高雄市,彌陀區,M,0,70+,1,64000,64000280
025,2025,1,高雄市,鼓山區,M,0,60~64,1,64000,64000020
025,2025,3,高雄市,左營區,M,0,70+,1,64000,64000030
025,2025,4,高雄市,楠梓區,M,0,65~69,1,64000,64000040
025,2025,4,台中市,東區,M,0,70+,1,66000,66000020
025,2025,8,屏東縣,車城鄉,M,0,70+,1,10013,10013230
025,2025,10,高雄市,小港區,M,0,65~69,1,64000,64000110
025,2025,10,高雄市,彌陀區,M,0,70+,1,64000,64000280
025,2025,10,高雄市,林園區,M,0,65~69,1,64000,64000130
025,2025,12,桃園市,中壢區,M,1,65~69,1,68000,68000020
025,2025,13,高雄市,楠梓區,M,0,70+,1,64000,64000040
025,2025,14,高雄市,仁武區,M,0,55~59,1,64000,64000170
025,2025,14,高雄市,楠梓區,M,0,60~64,1,64000,64000040
025,2025,14,高雄市,楠梓區,M,0,70+,1,64000,64000040
025,2025,18,台中市,沙鹿區,M,0,60~64,1,66000,66000130
025,2025,21,新竹市,東區,M,1,50~54,1,10018,10018010
025,2025,23,高雄市,楠梓區,M,0,60~64,1,64000,64000040
025,2025,25,高雄市,林園區,M,0,70+,1,64000,64000130
025,2025,25,高雄市,鳳山區,M,0,70+,1,64000,64000120
025,2025,26,台中市,大里區,F,0,70+,1,66000,66000280
025,2025,26,台中市,霧峰區,M,0,70+,1,66000,66000260
025,2025,27,宜蘭縣,五結鄉,M,0,55~59,1,10002,10002090
025,2025,27,高雄市,左營區,M,0,45~49,1,64000,64000030
025,2025,27,高雄市,林園區,M,0,70+,1,64000,64000130
025,2025,27,高雄市,苓雅區,M,0,40~44,1,64000,64000080
025,2025,27,台南市,歸仁區,M,0,50~54,1,67000,67000280
025,2025,28,高雄市,左營區,M,0,50~54,1,64000,64000030
025,2025,28,高雄市,左營區,M,0,65~69,1,64000,64000030
025,2025,28,高雄市,林園區,M,0,70+,1,64000,64000130
025,2025,28,高雄市,楠梓區,F,0,70+,1,64000,64000040
025,2025,28,高雄市,楠梓區,M,0,70+,1,64000,64000040
025,2025,28,高雄市,鳥松區,M,0,70+,1,64000,64000180
025,2025,28,高雄市,鳳山區,M,0,70+,1,64000,64000120
025,2025,29,高雄市,前鎮區,M,0,70+,1,64000,64000090
025,2025,29,高雄市,楠梓區,M,0,55~59,1,64000,64000040
025,2025,29,高雄市,鳳山區,M,0,60~64,1,64000,64000120
025,2025,29,台南市,南區,M,0,60~64,1,67000,67000330
025,2025,30,台中市,大里區,M,0,65~69,1,66000,66000280
025,2025,30,台中市,沙鹿區,M,0,55~59,1,66000,66000130
025,2025,31,屏東縣,屏東市,M,0,40~44,1,10013,10013010
025,2025,31,高雄市,前鎮區,M,0,60~64,1,64000,64000090
025,2025,31,高雄市,大寮區,M,0,55~59,1,64000,64000140
025,2025,31,高雄市,左營區,M,0,70+,1,64000,64000030
025,2025,31,高雄市,梓官區,F,0,50~54,1,64000,64000290
025,2025,31,高雄市,梓官區,M,0,65~69,2,64000,64000290
025,2025,31,台南市,東區,M,0,70+,1,67000,67000320
025,2025,32,高雄市,橋頭區,M,0,65~69,1,64000,64000200
025,2025,32,台中市,南區,F,0,70+,1,66000,66000030
025,2025,33,高雄市,梓官區,F,0,70+,1,64000,64000290
025,2025,33,高雄市,楠梓區,F,0,40~44,1,64000,64000040
025,2025,34,屏東縣,屏東市,M,0,65~69,1,10013,10013010
025,2025,34,高雄市,三民區,M,0,65~69,1,64000,64000050
025,2025,34,高雄市,三民區,M,0,65~69,1,64000,64000051
025,2025,34,高雄市,三民區,M,0,65~69,1,64000,64000052
025,2025,34,高雄市,仁武區,M,0,50~54,1,64000,64000170
025,2025,34,高雄市,新興區,F,0,70+,1,64000,64000060
025,2025,34,高雄市,林園區,M,0,45~49,1,64000,64000130
025,2025,34,高雄市,鳳山區,M,0,30~34,1,64000,64000120
025,2025,34,高雄市,鳳山區,M,0,70+,1,64000,64000120
025,2025,35,高雄市,三民區,F,0,65~69,1,64000,64000050
025,2025,35,高雄市,三民區,F,0,65~69,1,64000,64000051
025,2025,35,高雄市,三民區,F,0,65~69,1,64000,64000052
025,2025,35,高雄市,苓雅區,M,0,40~44,1,64000,64000080
025,2025,35,台中市,烏日區,M,0,60~64,1,66000,66000230
025,2025,37,高雄市,鳳山區,M,0,70+,1,64000,64000120
025,2025,37,台中市,東區,F,0,30~34,1,66000,66000020
025,2025,38,高雄市,大樹區,M,0,55~59,1,64000,64000150
025,2025,38,高雄市,楠梓區,M,0,65~69,1,64000,64000040
025,2025,38,高雄市,永安區,M,0,55~59,1,64000,64000270
025,2025,38,高雄市,鳥松區,M,0,65~69,1,64000,64000180
025,2025,40,高雄市,鳳山區,M,0,50~54,1,64000,64000120
025,2025,40,台中市,大雅區,M,0,60~64,1,66000,66000180
025,2025,41,屏東縣,枋寮鄉,F,0,65~69,1,10013,10013160
